                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6272,                 2.0004,                 1.7822,                 1.3876,                0.51247,                0.47943,                0.46015,                 0.2557,                 0.4917,                0.46288,                0.42708,                0.20114,                  1.481,                 1.5647,                 1.5819,                 1.3481,             0.00066622,             0.00066622,             0.00066622
                      2,                 1.5812,                 1.8256,                 1.5855,                 1.3779,                0.53956,                0.52801,                 0.5033,                0.27272,                0.51031,                0.50589,                0.46045,                0.20738,                 1.4562,                 1.6711,                 1.5931,                  1.346,              0.0013065,              0.0013065,              0.0013065
                      3,                 1.5549,                 1.7721,                 1.5368,                 1.3596,                0.57241,                 0.5251,                0.52585,                  0.283,                0.55096,                0.50231,                0.49016,                0.21519,                 1.4432,                 1.5731,                 1.4434,                 1.3257,              0.0019204,              0.0019204,              0.0019204
                      4,                 1.5298,                 1.7717,                 1.4892,                 1.3473,                0.63683,                0.54267,                0.58395,                0.33304,                0.61752,                0.52207,                0.54488,                0.26118,                 1.3816,                 1.4814,                 1.3723,                 1.3037,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.5045,                 1.7406,                 1.4462,                 1.3343,                0.61592,                0.55174,                0.57678,                0.33461,                0.59834,                0.53456,                0.53667,                0.26414,                 1.3731,                 1.4778,                 1.3536,                 1.2938,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.4772,                 1.7085,                 1.4151,                  1.325,                 0.6391,                0.57439,                0.61304,                0.35062,                0.61809,                0.55438,                 0.5756,                0.27973,                 1.3484,                 1.4847,                  1.298,                 1.2826,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.4576,                 1.6861,                 1.3999,                 1.3139,                0.62131,                0.57638,                0.60338,                0.34824,                0.60472,                0.55174,                0.56328,                0.26288,                 1.3142,                  1.437,                 1.3286,                 1.2592,               0.001802,               0.001802,               0.001802
                      8,                 1.4472,                 1.6994,                 1.3757,                 1.3049,                0.62495,                0.56877,                0.60031,                0.35565,                0.60927,                0.54405,                0.55601,                0.27567,                 1.2953,                 1.5067,                 1.2742,                 1.2452,              0.0017624,              0.0017624,              0.0017624
                      9,                  1.431,                 1.6822,                 1.3495,                 1.2942,                0.66474,                0.57869,                0.62863,                0.37429,                0.64758,                0.55912,                0.59184,                0.29705,                 1.3027,                 1.4007,                 1.2376,                  1.248,              0.0017228,              0.0017228,              0.0017228
